dataset,accuracy_mean,accuracy_standard_deviation,time_training_seconds,time_test_seconds
ACSF1,0.8799999999999999,0.014142135623730963,2.2386630630586297,2.1102724009659144
Adiac,0.7867007672634271,0.005266306977486983,1.3350058105774223,0.925903136888519
AllGestureWiimoteX,0.7765714285714285,0.002941608611710568,2.3040293423458937,4.541940418398008
AllGestureWiimoteY,0.7899999999999999,0.0025555062599997656,2.266093005752191,4.539702418958768
AllGestureWiimoteZ,0.7642857142857143,0.004607004427599178,2.2484207986854017,4.544795012054965
ArrowHead,0.8114285714285714,0.020761030999525677,0.23401613128371537,0.6077492610551416
BME,1.0,0.0,0.14372051302343608,0.2649898228701204
Beef,0.8333333333333333,0.02108185106778919,0.2790424074046314,0.19513832638040185
BeetleFly,0.9,0.0,0.27000350737944245,0.18431253042072057
BirdChicken,0.9,0.0,0.27222063108347355,0.19200394619256259
CBF,0.9995555555555555,0.0005443310539517937,0.1179634933359921,1.4861573511734605
Car,0.8800000000000001,0.02449489742783177,0.5748488805256784,0.4810046593658626
Chinatown,0.9825072886297376,0.0,0.06033385200425982,0.17009854065254332
ChlorineConcentration,0.8186458333333333,0.005253966755382689,1.4227214982733132,8.183580811042338
CinCECGTorso,0.837391304347826,0.002450947032650407,1.1097155170980841,30.015646129613742
Coffee,1.0,0.0,0.2072105767671019,0.11969587169587612
Computers,0.7656000000000001,0.001959591794226544,2.620671984599903,2.376893908996135
CricketX,0.8153846153846154,0.0058470534620468405,1.9820368714164942,1.579933359939605
CricketY,0.8523076923076923,0.004166173540838939,1.8909061745740474,1.5403030071407557
CricketZ,0.8553846153846154,0.0026148818018424448,1.9108061285223812,1.538277183379978
Crop,0.7656547619047618,0.0010024064016676674,50.58948529791087,11.243411946622656
DiatomSizeReduction,0.9738562091503267,0.0020668481439008943,0.1908326172735542,1.4153387553524226
DistalPhalanxOutlineAgeGroup,0.7510791366906474,0.007336718724593954,0.796331616397947,0.17516604396514596
DistalPhalanxOutlineCorrect,0.7695652173913043,0.0036949416765165275,1.1910621421877297,0.30397483715787527
DistalPhalanxTW,0.7151079136690648,0.00575539568345324,0.8053720219992102,0.16871619308367372
DodgerLoopDay,0.6050000000000001,0.010000000000000014,0.44632086153142153,0.3394325426314026
DodgerLoopGame,0.8681159420289856,0.005422691864889747,0.1865020437631756,0.5441475466825068
DodgerLoopWeekend,0.9739130434782609,0.00354998513446839,0.18835169137455524,0.5447820163797588
ECG200,0.9,0.006324555320336764,0.3033496487885714,0.13946783198043702
ECG5000,0.9472888888888888,0.0004073400617738754,1.3697700306773186,8.222819452919067
ECGFiveDays,1.0,0.0,0.11834761896170676,1.514806161588058
EOGHorizontalSignal,0.5850828729281768,0.005634275705627403,6.343397797225043,6.020228239428252
EOGVerticalSignal,0.5397790055248619,0.01027683714792169,6.315894114552066,5.971631916612386
Earthquakes,0.7482014388489209,0.0,2.5288824009709057,0.9685683866031468
ElectricDevices,0.7273505381921931,0.0013061525936469043,89.80222979080864,9.650909485435113
EthanolLevel,0.5871999999999999,0.0034871191548325416,12.039374550012873,11.543514371290803
FaceAll,0.9439053254437869,0.0026035502958579857,1.4442247775848955,2.8723014858551323
FaceFour,0.9750000000000002,0.004545454545454542,0.22160908533260226,0.4402201544493437
FacesUCR,0.9623414634146341,0.000994930636798593,0.5777278104331345,3.494947696477175
FiftyWords,0.8294505494505495,0.005311228999382255,2.043072059424594,1.6343653480056675
Fish,0.9805714285714286,0.005827450872677473,1.269829708477482,1.10509792836383
FordA,0.9465151515151515,0.003052945709031792,32.95851952624507,8.645608366047965
FordB,0.7980246913580247,0.005925925925925933,33.347736183833334,5.349999249540269
FreezerRegularTrain,0.9974736842105262,0.00040918960665583545,0.7592045958619565,10.943986997380852
FreezerSmallTrain,0.9498245614035088,0.00426860528441982,0.19542030058801174,10.953016001963988
Fungi,0.9946236559139784,1.1102230246251565e-16,0.15471501722931863,0.5080461977515369
GestureMidAirD1,0.7753846153846153,0.005756395979652197,1.2511349105276166,0.6578236455563455
GestureMidAirD2,0.6661538461538461,0.00615384615384617,1.2341762124095113,0.666232971008867
GestureMidAirD3,0.4046153846153846,0.003768445758127953,1.241082300664857,0.6635406923480331
GesturePebbleZ1,0.8976744186046511,0.0028482438869571886,0.989098307210952,1.0513583000283688
GesturePebbleZ2,0.830379746835443,0.008396518456595958,1.0629859208595007,0.9408890325576067
GunPoint,1.0,0.0,0.21284257830120623,0.30848786970600484
GunPointAgeSpan,0.9886075949367088,0.0042926139133704,0.47851741025224326,0.6216312707401812
GunPointMaleVersusFemale,0.9981012658227847,0.0015503099637868298,0.46278225663118067,0.6307602771092206
GunPointOldVersusYoung,1.0,0.0,0.44046549759805204,0.6193639338482171
Ham,0.7104761904761905,0.004665694748158418,0.8239693422801793,0.6386673975270242
HandOutlines,0.9416216216216217,0.002162162162162179,36.649840075057,13.276253816811368
Haptics,0.5233766233766234,0.0024296476537493342,2.4139997225720435,4.429717203043401
Herring,0.690625,0.00625,0.532627206388861,0.43026835112832484
HouseTwenty,0.9596638655462184,0.003361344537815114,1.3238823437597602,3.1871167668141425
InlineSkate,0.4574545454545455,0.0070511707016964785,2.806760767521337,13.730771195329725
InsectEPGRegularTrain,1.0,0.0,0.5890317381825297,1.9644020807463676
InsectEPGSmallTrain,1.0,0.0,0.272863528970629,1.974824384553358
InsectWingbeatSound,0.6577777777777778,0.0014845392380504038,0.957855791086331,6.5359823133796455
ItalyPowerDemand,0.9685131195335277,0.0007774538386783048,0.12287695002742112,0.39626206252723933
LargeKitchenAppliances,0.9034666666666666,0.0042666666666666825,3.906159070832655,3.5637997958343473
Lightning2,0.7573770491803279,0.006557377049180335,0.6287844236940145,0.5289949801750481
Lightning7,0.8246575342465752,0.01025111612814779,0.4499898327514529,0.34707682370208204
Mallat,0.9561620469083156,0.0013046531804501982,0.8778131377417594,31.15171860968694
Meat,0.95,0.0,0.4613134271465242,0.37131467661820355
MedicalImages,0.7971052631578947,0.002105263157894735,0.8467733879573642,1.015430587111041
MelbournePedestrian,0.9466174661746617,0.001453058232609232,1.704306739801541,0.9040476385969669
MiddlePhalanxOutlineAgeGroup,0.5987012987012987,0.010389610389610412,0.8152842613868415,0.18045765762217342
MiddlePhalanxOutlineCorrect,0.8426116838487973,0.005050494315016844,1.2357782325241715,0.32031940571032463
MiddlePhalanxTW,0.5545454545454546,0.0031811555101079973,0.8303856859914959,0.17081953212618828
MixedShapesRegularTrain,0.971298969072165,0.0006700237859493546,7.144605632405728,32.16181822945364
MixedShapesSmallTrain,0.9384742268041236,0.0013651913696698468,1.564692644588649,32.22877347622998
MoteStrain,0.9177316293929714,0.0017499123242976577,0.07708245725370944,1.3801123372279107
NonInvasiveFetalECGThorax1,0.9512468193384225,0.0027762201927706604,20.042349909013137,19.125716624734924
NonInvasiveFetalECGThorax2,0.9675318066157761,0.000875554734559064,19.9939278408885,19.141781184542925
OSULeaf,0.9421487603305785,0.0036959801280988134,1.344235644163564,1.3969034882262348
OliveOil,0.9133333333333333,0.01632993161855452,0.3195583938155323,0.23612119173631071
PLAID,0.8189944134078212,0.018374519752020868,9.94838401824236,9.4550740421284
PhalangesOutlinesCorrect,0.828904428904429,0.004447269004274818,4.280666098278015,0.9001499402336777
Phoneme,0.27932489451476794,0.0020724559814755752,3.1415927269961683,25.371058023208754
PickupGestureWiimoteZ,0.796,0.014966629547095742,0.3733295483980328,0.29093074970878663
PigAirwayPressure,0.8028846153846153,0.006081303192631477,3.0428698782343417,5.5967420936562124
PigArtPressure,0.9557692307692308,0.004710557197659982,3.039002285432071,5.563940028659999
PigCVP,0.9307692307692308,0.0023552785988299706,3.0514697643928232,5.60727063328959
Plane,1.0,0.0,0.38343398133292794,0.22328929589129984
PowerCons,0.9855555555555554,0.004444444444444473,0.5511466491501779,0.35164531315676867
ProximalPhalanxOutlineAgeGroup,0.853658536585366,1.1102230246251565e-16,0.8417001006659119,0.2336981546599418
ProximalPhalanxOutlineCorrect,0.9010309278350516,0.005498281786941606,1.2928338976111262,0.3299158103764057
ProximalPhalanxTW,0.8136585365853659,0.0056887335559465905,0.840479409461841,0.24139958317391574
RefrigerationDevices,0.5285333333333333,0.0019955506062794173,3.9116700713988397,3.5578344180248678
Rock,0.68,0.0,0.9624397715553641,2.051466553611681
ScreenType,0.4810666666666667,0.009175813618178812,3.872947942605242,3.5360490268096325
SemgHandGenderCh2,0.8963333333333333,0.004396968652757611,6.258280124980956,11.77267746841535
SemgHandMovementCh2,0.6048888888888889,0.011708390997617339,9.3917499368079,8.975734471483156
SemgHandSubjectCh2,0.844,0.008933222774329662,9.440770789235831,8.987430384708569
ShakeGestureWiimoteZ,0.924,0.007999999999999962,0.381134742917493,0.3061215735971928
ShapeletSim,1.0,0.0,0.2509306883905083,1.2089923292398452
ShapesAll,0.9073333333333334,0.006018490028422591,4.606710317218676,3.998390369629487
SmallKitchenAppliances,0.8165333333333333,0.0039191835884530915,3.8543826257809997,3.547016792697832
SmoothSubspace,0.9733333333333334,0.0,0.20110595938749612,0.052093372354283934
SonyAIBORobotSurface1,0.9217970049916804,0.0021046773112601506,0.08060726579278708,0.5771183340344578
SonyAIBORobotSurface2,0.913536201469045,0.0021606778889794666,0.07445845068432391,0.8543460689950734
StarLightCurves,0.9805488101019912,0.00037146815300579436,14.392634114902467,108.90728425192647
Strawberry,0.981081081081081,0.0,2.4592328586615624,1.159322155220434
SwedishLeaf,0.9628799999999998,0.001197330363767648,1.2903610620182007,1.0678395131602885
Symbols,0.9746733668341708,0.0009847194945862283,0.23190062278881668,5.09820487909019
SyntheticControl,0.9993333333333332,0.0013333333333333196,0.5869542338419705,0.2631741771940142
ToeSegmentation1,0.9701754385964912,0.0017543859649122862,0.2569258003961295,0.8458269318565727
ToeSegmentation2,0.9215384615384616,0.005756395979652245,0.27919704155065117,0.6225626542698591
Trace,1.0,0.0,0.5346748409792781,0.39395275893621146
TwoLeadECG,0.9991220368744512,0.0,0.07621319866739214,1.2490603658370674
TwoPatterns,1.0,0.0,2.651639640238136,6.539248152449727
UMD,0.986111111111111,1.1102230246251565e-16,0.17140936036594212,0.31374295437708494
UWaveGestureLibraryAll,0.9757677275265214,0.0004102997894109284,11.849608552828432,43.773666301369666
UWaveGestureLibraryX,0.8536013400335009,0.0015250139903682585,4.517017010040582,14.420345188723878
UWaveGestureLibraryY,0.7740368509212731,0.0013969844783022847,4.530499659432098,14.512165951821954
UWaveGestureLibraryZ,0.792462311557789,0.0015352012378411477,4.493330797133967,14.479890283802524
Wafer,0.9982154445165478,0.00025132922428344507,2.9572306896559892,11.943627921165898
Wine,0.8222222222222222,0.02771598064276994,0.2918064059689641,0.19799739406444133
WordSynonyms,0.7532915360501568,0.002126122251763408,1.2251474985852837,2.257667616428807
Worms,0.7246753246753247,0.0051948051948051965,2.3490103530697524,0.9787013939116149
WormsTwoClass,0.7974025974025973,0.006362311020216049,2.3550416654441504,0.9533919401001185
Yoga,0.9100666666666667,0.0036110940170535886,1.9664842252619565,16.341402791626752
